x,y
"Dec 21, 1943",4.2867
"Sep 7, 1945",3.8973
"May 27, 1947",3.5516
"Feb 12, 1949",3.2452
"Nov 1, 1950",2.9741
"Jul 19, 1952",2.7344
"Apr 7, 1954",2.5226
"Dec 25, 1955",2.3352
"Sep 12, 1957",2.1691
"May 31, 1959",2.0214
"Feb 16, 1961",1.8895
"Nov 5, 1962",1.7717
"Jul 24, 1964",1.6671
"Apr 11, 1966",1.5752
"Dec 29, 1967",1.4957
"Sep 16, 1969",1.4277
"Jun 5, 1971",1.3699
"Feb 21, 1973",1.3209
"Nov 9, 1974",1.2796
"Jul 28, 1976",1.2447
"Apr 16, 1978",1.2151
"Jan 3, 1980",1.1902
"Sep 20, 1981",1.169
"Jun 9, 1983",1.151
"Feb 25, 1985",1.1357
"Nov 14, 1986",1.1227
"Aug 1, 1988",1.1116
"Apr 20, 1990",1.1021
"Jan 7, 1992",1.094
"Sep 25, 1993",1.087
"Jun 14, 1995",1.0811
"Mar 1, 1997",1.076
"Nov 18, 1998",1.0717
"Aug 6, 2000",1.0679
"Apr 25, 2002",1.0647
"Jan 11, 2004",1.062
"Sep 29, 2005",1.0597
"Jun 18, 2007",1.0577
"Mar 6, 2009",1.056
"Nov 22, 2010",1.0545
"Aug 10, 2012",1.0532
"Apr 29, 2014",1.0522
"Jan 16, 2016",1.0513
"Oct 4, 2017",1.0505
"Jun 22, 2019",1.0498
"Mar 10, 2021",1.0492
"Nov 27, 2022",1.0487
"Aug 15, 2024",1.0483
"May 3, 2026",1.048
"Jan 20, 2028",1.0477
"Oct 8, 2029",1.0474
"Jun 27, 2031",1.0472
"Mar 14, 2033",1.047
"Dec 1, 2034",1.0469
"Aug 19, 2036",1.0467
"May 8, 2038",1.0466
"Jan 24, 2040",1.0465
"Oct 12, 2041",1.0464
"Jul 1, 2043",1.0463
"Mar 19, 2045",1.0463
"Dec 6, 2046",1.0462
"Aug 23, 2048",1.0462
"May 12, 2050",1.0461
"Jan 29, 2052",1.0461
"Oct 17, 2053",1.0461
"Jul 5, 2055",1.0461
"Mar 23, 2057",1.046
"Dec 10, 2058",1.046
"Aug 28, 2060",1.046
"May 16, 2062",1.046
"Feb 2, 2064",1.046
"Oct 21, 2065",1.046
"Jul 10, 2067",1.046
"Mar 28, 2069",1.046
"Dec 14, 2070",1.046
"Sep 1, 2072",1.046
"May 21, 2074",1.046
"Feb 7, 2076",1.0459
"Oct 25, 2077",1.0459
"Jul 14, 2079",1.0459
"Apr 1, 2081",1.0459
"Dec 19, 2082",1.0459
"Sep 5, 2084",1.0459
"May 25, 2086",1.0459
"Feb 11, 2088",1.0459
"Oct 30, 2089",1.0459
"Jul 19, 2091",1.0459
"Apr 5, 2093",1.0459
"Dec 23, 2094",1.0459
"Sep 10, 2096",1.0459
"May 30, 2098",1.0459
"Feb 15, 2100",1.0459
"Nov 4, 2101",1.0459
"Jul 24, 2103",1.0459
"Apr 11, 2105",1.0459
"Dec 28, 2106",1.0459
"Sep 15, 2108",1.0459
"Jun 4, 2110",1.0459
"Feb 21, 2112",1.0459
"Nov 9, 2113",1.0459
